artist_name;track_name;track_id;popularity
Pink Floyd;Terminal Frost - Remix 2019;73fQJejfeIb6AyjIqyDiLF;30,01
J Balvin;LA CANCIÓN;0fea68AdmYNygeTGI4RC18;86,02
Usher;Yeah! (feat. Lil Jon & Ludacris);0utLWSIbolqT7KyppMuxKY;39,03
Juice WRLD;Empty;41MCdlvXOl62B7Kv86Bb1v;80,04
Pink Floyd;On the Turning Away - Remix 2019;6wDeZntXr5oWaXbAFLUHRf;31,05
Billie Eilish;when the party's over;43zdsphuZLzwA9k4DJhU0I;85,06
Pink Floyd;Signs of Life - 2019 remix [Live];3WYct0etrRZLnMovAs4Nnr;31,07
Lil Tecca;Ransom;1lOe9qE0vR9zwWQAOk6CoO;83,08
Pink Floyd;Sorrow - 2019 remix [Live];3dfe0fKRLb8WIqzK9KxAAQ;30,09
Jonas Brothers;Sucker;22vgEDb5hykfaTwLuskFGD;84,1
Pink Floyd;Yet Another Movie - 2019 remix [Live];5dlL1PVoVscf1hbcPRDg70;31,11
Billie Eilish;everything i wanted;3ZCTVFBt2Brf31RLEnCkWJ;85,12
Pink Floyd;Wish You Were Here - 2019 remix [Live];5PeyGshewkLwL59zOAIW4C;33,13
Drake;Money In The Grave (Drake ft. Rick Ross);5ry2OE6R2zPQFDO85XkgRb;81,14
Papa Roach;Falling Apart - Remastered 2020;2qkxnCKVOKbQZcO8TEcXH1;36,15
The Weeknd;Save Your Tears;5QO79kh1waicV47BqGRL3g;90,16
Ruined Conflict;Year 2020;6dEPod8uKS1oqcD7RZYy6c;6,17
Pop Smoke;What You Know Bout Love;1tkg4EHVoqnhR6iFEXb60y;87,18
