,metros_cubiertos,dormitorios,antiguedad,ambientes,precio
252,74.0,2.0,0.0,3.0,179500.0
253,76.0,3.0,60.0,1.0,65000.0
254,134.0,3.0,0.0,4.0,145000.0
255,40.0,1.0,5.0,2.0,52000.0
256,156.0,3.0,75.0,5.0,450000.0
257,50.0,2.0,60.0,3.0,100000.0
258,152.0,2.0,0.0,4.0,445000.0
259,40.0,0.0,30.0,0.0,85000.0
260,55.0,2.0,50.0,3.0,105000.0
261,36.0,3.0,40.0,4.0,290000.0
262,185.0,2.0,0.0,3.0,180000.0
263,40.0,1.0,0.0,2.0,125000.0
264,167.0,3.0,9.0,5.0,600000.0
265,50.0,1.0,0.0,2.0,83400.0
266,39.0,0.0,0.0,1.0,61700.0
267,67.0,2.0,0.0,33.0,118100.0
268,85.0,2.0,35.0,4.0,199000.0
269,98.0,3.0,0.0,4.0,260000.0
270,41.0,2.0,15.0,3.0,120000.0
271,82.0,2.0,1.0,3.0,190000.0
272,29.0,0.0,45.0,1.0,59900.0
273,175.0,3.0,52.0,6.0,430000.0
274,105.0,2.0,0.0,4.0,165000.0
275,108.0,3.0,0.0,4.0,210000.0
276,86.0,2.0,0.0,3.0,220000.0
277,70.0,2.0,7.0,3.0,185000.0
278,313.0,4.0,0.0,5.0,390000.0
279,125.0,3.0,0.0,5.0,292000.0
280,92.0,2.0,0.0,3.0,198000.0
281,71.0,2.0,60.0,3.0,149000.0
